,title
146,The Treasure of the Sierra Madre19472h 6mPassed8.2
147,Yôjinbô19611h 50mNot Rated8.2
148,No Country for Old Men20072h 2mR8.2
149,Kill Bill: Vol. 120031h 51mR8.2
150,Monty Python and the Holy Grail19751h 31mPG8.2
151,The Great Escape19632h 52mApproved8.2
152,The Thing19821h 49m16+8.2
153,Rashômon19501h 28mNot Rated8.2
154,Finding Nemo20031h 40mG8.2
155,The Elephant Man19802h 4mPG8.2
156,Chinatown19742h 10mR8.2
157,Hauru no ugoku shiro20041h 59mPG8.2
158,Dial M for Murder19541h 45mPG8.2
159,Gone with the Wind19393h 58mPassed8.2
160,V for Vendetta20052h 12mR8.2
161,Spider-Man: No Way Home20212h 28mPG-138.2
162,Raging Bull19802h 9mR8.1
163,"Lock, Stock and Two Smoking Barrels19981h 47mR8.1"
164,El secreto de sus ojos20092h 9mR8.2
165,Inside Out20151h 35mPG8.1
166,Prisoners20132h 33mR8.1
167,"Three Billboards Outside Ebbing, Missouri20171h 55mR8.1"
168,The Bridge on the River Kwai19572h 41mPG8.1
169,Trainspotting19961h 33mR8.1
170,Fargo19961h 38mR8.1
171,Warrior20112h 20mPG-138.1
172,Gran Torino20081h 56mR8.1
173,Catch Me If You Can20022h 21mPG-138.1
174,Tonari no Totoro19881h 26mG8.1
175,Million Dollar Baby20042h 12mPG-138.1
176,Klaus20191h 36mPG8.2
177,Harry Potter and the Deathly Hallows: Part 220112h 10mPG-138.1
178,Bacheha-Ye aseman19971h 29mPG8.2
179,Blade Runner19821h 57mR8.1
180,12 Years a Slave20132h 14mR8.1
181,Before Sunrise19951h 41mR8.1
182,The Grand Budapest Hotel20141h 39mR8.1
183,The Gold Rush19251h 35mPassed8.1
184,Ben-Hur19593h 32mG8.1
185,Gone Girl20142h 29mR8.1
186,Barry Lyndon19753h 5mPG8.1
187,On the Waterfront19541h 48mApproved8.1
188,Hacksaw Ridge20162h 19mR8.1
189,In the Name of the Father19932h 13mR8.1
190,The General19261h 18mPassed8.1
191,Salinui chueok20032h 11mNot Rated8.1
192,The Deer Hunter19783h 3mR8.1
193,Smultronstället19571h 31mNot Rated8.1
194,Le salaire de la peur19532h 11mNot Rated8.2
195,The Third Man19491h 44mApproved8.1
196,Relatos salvajes20142h 2mR8.1
197,Sherlock Jr.192445mPassed8.2
198,Mad Max: Fury Road20152hR8.1
199,Dead Poets Society19892h 8mPG8.1
200,Mr. Smith Goes to Washington19392h 9mPassed8.1
201,"Monsters, Inc.20011h 32mG8.1"
202,How to Train Your Dragon20101h 38mPG8.1
203,Jaws19752h 4mPG8.1
204,Mary and Max.20091h 32mNot Rated8.1
205,Det sjunde inseglet19571h 36mNot Rated8.1
206,Room20151h 58mR8.1
207,Ford v Ferrari20192h 32mPG-138.1
208,The Big Lebowski19981h 57mR8.1
209,Tôkyô monogatari19532h 16mNot Rated8.1
210,Ratatouille20071h 51mG8.1
211,Rocky19762hPG8.1
212,Hotel Rwanda20042h 1mPG-138.1
213,La passion de Jeanne d'Arc19281h 50mPassed8.1
214,Logan20172h 17mR8.1
215,Platoon19862hR8.1
216,Spotlight20152h 9mR8.1
217,The Terminator19841h 47mR8.1
218,Jai Bhim20212h 44mTV-MA8.8
219,Before Sunset20041h 20mR8.1
220,Rush20132h 3mR8.1
221,Network19762h 1mR8.1
222,Stand by Me19861h 29mR8.1
223,The Best Years of Our Lives19462h 50mApproved8.1
224,La haine19951h 38mNot Rated8.1
225,The Wizard of Oz19391h 42mG8.1
226,The Exorcist19732h 2mR8.1
227,Into the Wild20072h 28mR8.1
228,Pirates of the Caribbean: The Curse of the Black Pearl20032h 23mPG-138.1
229,The Incredibles20041h 55mPG8.0
230,To Be or Not to Be19421h 39mPassed8.2
231,Hachi: A Dog's Tale20091h 33mG8.1
232,Groundhog Day19931h 41mPG8.0
233,Ah-ga-ssi20162h 25mNot Rated8.1
234,The Grapes of Wrath19402h 9mPassed8.1
235,La battaglia di Algeri19662h 1mNot Rated8.1
236,Babam ve Oglum20051h 52mNot Rated8.2
237,Amores perros20002h 34mR8.1
238,Rebecca19402h 10mApproved8.1
239,Cool Hand Luke19672h 7mGP8.1
240,The Sound of Music19652h 52mG8.1
241,Pather Panchali19552h 5mNot Rated8.2
242,It Happened One Night19341h 45mPassed8.1
243,The Iron Giant19991h 26mPG8.1
244,The Help20112h 26mPG-138.1
245,Les quatre cents coups19591h 39mNot Rated8.1
246,Persona19661h 25mNot Rated8.1
247,Life of Brian19791h 34mR8.0
248,Aladdin19921h 30mG8.0
249,Gangs of Wasseypur20125h 21mNot Rated8.2
